1011930,126 West Loockerman Street (Loockerman Way Plaza),151,42,19904
1018359,1300 Pennsylvania Avenue,152,43,20004
1008450,3690 The Barnyard,153,43,93923
1006651,Corner of Bird and Stossel,153,43,98014
1019417,6619 hwy 29 north,153,43,29669
1021269,301 W Main St,154,44,27510
1008322,Carrollton Uptown Square,155,44,64633
1021213,3rd & Curry St.,156,45,89703
1020071,94 FAIRGROUND DR,157,45,41143
1020074,131 Jessica Lane,157,45,41164
1012093,108 Main St.,157,45,02330
1021740,2325 Boston Neck Rd.,157,45,02874
1008276,3070 11th Ave Dr. SE,158,45,28602
1019159,4965 Catawba Creek Road,159,45,24070
1021242,6770 Cave Spring Rd SW,160,45,30124
1012484,Corner Of NW Cornell and Murray Roads,160,45,97229
1019842,1046 Cedar Point Blvd.,161,45,28584
1021362,1001 W Market St.,162,45,45822
1018734,142 N Ohio Street,163,45,75009
1021226,4301 S Central Ave,163,45,90011
1019907,559 Dexter St,163,45,02863
1019618,2251 NW Bucklin Hill Rd,163,45,98383
1020142,401 S. Pavilion Way,164,45,92262
1020141,2300 E. Baristo Rd,164,45,92262
1020058,NE Corner Friant and Ft Washington,165,45,93730
1020057,SE Corner Blackstone and Nees,165,45,93720
1020056,SE Corner Blackstone and Nees,165,45,93720
1019225,Challis City Park,166,45,83226
1021267,501 U.S Route 2,167,45,05486
1021564,185 US Route 2,167,45,05458
1018886,100 block of South Samuel Street,167,45,25414
1017995,,167,45,72933
1021741,4150 Old Post Road,167,45,02813
1011689,1801 Yorkmont Road,168,45,28217
1005834,1652 Main Street Rte 28,169,45,02633
1019881,,170,45,
1004754,Corner of Rte 110 and Rte 113,170,45,05038
1008606,near 6701 Mimms Loop,171,45,23832
1021310,7673 Germantown Avenue,172,45,19118
1020128,2nd and Wall Streets,173,45,95927
1020129,North Valley Plaza Mall,173,45,95926
1020127,6491 Clark Road,173,45,95969
1001763,East Lee Highway between Chestnut and Pine Avenues (Warrior Park),174,45,24319
1019104,308 North Main Street,175,45,28023
1008409,1 S. Bridge Street,176,45,54729
1021237,6730 Church St,176,45,30134
1004360,603 Church Street,177,45,23824
1021653,8445 SW 80th Street,178,45,34481
1019141,200 Sanborn Street,179,45,29501
1005250,Alapai & Beretania Street,179,45,96813
1021199,4325 Wightman St.,180,45,92104
1019717,1150 South Gay Street,180,45,36830
1004255,700 S. Railroad,181,45,80537
1017956,"St. Anthony Municipal Parking Lot, at the intersection of Rte. 8 (Marshall St.) and St. Anthony Drive",182,45,01247
1017930,1529 Brownsville Road,182,45,15210
1000303,15500 County Road 6,183,45,55447
1021433,7221 Broadview Road,184,45,44131
1021420,24800 Jeffereson,185,45,48080
1006460,"Clark Avenue, between 2nd and 3rd Street",186,45,55110
1005940,corner of Whalley Ave. and West Rock Ave.,187,45,06515
1005941,Corner of Front St. and Grand Ave.,187,45,06513
1019206,115 Water St,187,45,06511
1005943,DePalma Ct. between Chapel St. and Wooster St.,187,45,06511
1002106,Harvard Avenue Between Bonita and First Streets,187,45,91711
1019061,14 North Street,188,45,03743
1000579,"New Town lot, 10717 Main St. (route 5)",189,45,14031
1019840,"Beachview Park, Chestnut St",190,45,99403
1021441,720 5th Street,191,45,67432
1019110,141 S Ridgeway Drive,192,45,76033
1019741,1150 S Peace Haven Road,193,45,27012
1019704,"3400 Connecticut Ave NW, Washington, DC 20008",193,45,20008
1018381,"971 Route 146, Shenendehowa United Methodist Church parking lot ",194,45,12065
1019823,20 West Park Row,195,45,13323
1019763,N High St and W Dunedin Rd,195,45,43214
1000549,21 College Street,196,45,36311
1002808,7500 Security Blvd.,197,45,21244
1019474,900 Barring Avenue,198,45,18508
1018969,650 Ten Rod Rd.,198,45,02852
1019821,2325 Boston Neck Rd,198,45,02874
1020135,225 Cabrillo Highway,199,45,94019
1020137,450 Old County Road,199,45,94044
1021232,801 SE Larch Avenue,200,45,99324
1001290,Main St. and Route 179,200,45,06019
1000210,7350 Pine Creek Road,200,45,80919
1009656,215 S. Tejon,200,45,80903
1018196,5th Street & Riverside Drive,201,45,38401
1019790,1769 West Ash Street,201,45,65203
1010758,10800 Airport Road,202,45,95310
1019483,14 st and 26 Ave,203,45,68601
1019199,202 N. East Avenue,204,45,66725
1020124,10th Street Memorial Park,205,45,95932
1011003,9079 HWY377,206,45,76240
1021541,831 SE Salmon St,207,45,97214
1019592,Main Street,208,46,38619
1019042,800 Main Street,208,46,06103
1012030,1029 2nd Ave,209,46,29526
1021396,150 Amity Rd.,210,46,72032
1006766,"320 Central Ave., Suite 410",211,46,97420
1018190,1513 7th St,211,46,52241
1021639,1370 N Adair St,211,46,97113
1012666,100 N Shoreline Blvd,212,46,78401
1008959,Main and Elm Streets,213,46,81321
1021691,1st & Jackson,213,46,97330
1018629,Old Redwood Hwy and W Sierra,214,46,94931
1010975,47 Doster Road,214,46,36311
1004382,1832 Massachusetts Street,214,46,66044
1018221,609 Dixie Street,214,46,30117
1000368,1642 16th St,215,46,54812
1019530,1175 W Exchange St,216,46,44302
1019529,4040 Riverview Rd.,216,46,44264
